data Alimento = Alimento {
  nome_alimento :: String,
  kcal :: Float,
  proteinas :: Float,
  gorduras :: Float,
  carboidratos :: Float
} deriving (Show)


id  name  category/id  category/name  nutrients/kcal  nutrients/protein  nutrients/lipids  nutrients/carbohydrates
1  Arroz, integral, cozido  1  Cereais e derivados  124  2.6  1  25.8
2  Arroz, integral, cru  1  Cereais e derivados  360  7.3  1.9  77.5
3  Arroz, tipo 1, cozido  1  Cereais e derivados  128  2.5  0.2  28.1
4  Arroz, tipo 1, cru  1  Cereais e derivados  358  7.2  0.3  78.8
5  Arroz, tipo 2, cozido  1  Cereais e derivados  130  2.6  0.4  28.2
6  Arroz, tipo 2, cru  1  Cereais e derivados  358  7.2  0.3  78.9
7  Aveia, flocos, crua  1  Cereais e derivados  394  13.9  8.5  66.6
8  Biscoito, doce, maisena  1  Cereais e derivados  443  8.1  12  75.2
9  Biscoito, doce, recheado com chocolate  1  Cereais e derivados  472  6.4  19.6  70.5
10  Biscoito, doce, recheado com morango  1  Cereais e derivados  471  5.7  19.6  71
11  Biscoito, doce, wafer, recheado de chocolate  1  Cereais e derivados  502  5.6  24.7  67.5
12  Biscoito, doce, wafer, recheado de morango  1  Cereais e derivados  513  4.5  26.4  67.4
13  Biscoito, salgado, cream cracker  1  Cereais e derivados  432  10.1  14.4  68.7
14  Bolo, mistura para  1  Cereais e derivados  419  6.2  6.1  84.7
15  Bolo, pronto, aipim  1  Cereais e derivados  324  4.4  12.7  47.9
16  Bolo, pronto, chocolate  1  Cereais e derivados  410  6.2  18.5  54.7
17  Bolo, pronto, coco  1  Cereais e derivados  333  5.7  11.3  52.3
18  Bolo, pronto, milho  1  Cereais e derivados  311  4.8  12.4  45.1
19  Canjica, branca, crua  1  Cereais e derivados  358  7.2  1  78.1
20  Canjica, com leite integral  1  Cereais e derivados  112  2.4  1.2  23.6
21  Cereais, milho, flocos, com sal  1  Cereais e derivados  370  7.3  1.6  80.8
22  Cereais, milho, flocos, sem sal  1  Cereais e derivados  363  6.9  1.2  80.4
23  Cereais, mingau, milho, infantil  1  Cereais e derivados  394  6.4  1.1  87.3
24  Cereais, mistura para vitamina, trigo, cevada e aveia  1  Cereais e derivados  381  8.9  2.1  81.6
25  Cereal matinal, milho  1  Cereais e derivados  365  7.2  1  83.8
26  Cereal matinal, milho, açúcar  1  Cereais e derivados  377  4.7  0.7  88.8
27  Creme de arroz, pó  1  Cereais e derivados  386  7  1.2  83.9
28  Creme de milho, pó  1  Cereais e derivados  333  4.8  1.6  86.1
29  Curau, milho verde  1  Cereais e derivados  78  2.4  1.6  13.9
30  Curau, milho verde, mistura para  1  Cereais e derivados  402  2.2  13.4  79.8
31  Farinha, de arroz, enriquecida  1  Cereais e derivados  363  1.3  0.3  85.5
32  Farinha, de centeio, integral  1  Cereais e derivados  336  12.5  1.8  73.3
33  Farinha, de milho, amarela  1  Cereais e derivados  351  7.2  1.5  79.1
34  Farinha, de rosca  1  Cereais e derivados  371  11.4  1.5  75.8
35  Farinha, de trigo  1  Cereais e derivados  360  9.8  1.4  75.1
36  Farinha, láctea, de cereais  1  Cereais e derivados  415  11.9  5.8  77.8
37  Lasanha, massa fresca, cozida  1  Cereais e derivados  164  5.8  1.2  32.5
38  Lasanha, massa fresca, crua  1  Cereais e derivados  220  7  1.3  45.1
39  Macarrão, instantâneo  1  Cereais e derivados  436  8.8  17.2  62.4
40  Macarrão, trigo, cru  1  Cereais e derivados  371  10  1.3  77.9
41  Macarrão, trigo, cru, com ovos  1  Cereais e derivados  371  10.3  2  76.6
42  Milho, amido, cru  1  Cereais e derivados  361  0.6  0  87.1
43  Milho, fubá, cru  1  Cereais e derivados  353  7.2  1.9  78.9
44  Milho, verde, cru  1  Cereais e derivados  138  6.6  0.6  28.6
45  Milho, verde, enlatado, drenado  1  Cereais e derivados  98  3.2  2.4  17.1
46  Mingau tradicional, pó  1  Cereais e derivados  373  0.6  0.4  89.3
47  Pamonha, barra para cozimento, pré-cozida  1  Cereais e derivados  171  2.6  4.8  30.7
48  Pão, aveia, forma  1  Cereais e derivados  343  12.4  5.7  59.6
49  Pão, de soja  1  Cereais e derivados  309  11.3  3.6  56.5
50  Pão, glúten, forma  1  Cereais e derivados  253  12  2.7  44.1
51  Pão, milho, forma  1  Cereais e derivados  292  8.3  3.1  56.4
52  Pão, trigo, forma, integral  1  Cereais e derivados  253  9.4  3.7  49.9
53  Pão, trigo, francês  1  Cereais e derivados  300  8  3.1  58.6
54  Pão, trigo, sovado  1  Cereais e derivados  311  8.4  2.8  61.5
55  Pastel, de carne, cru  1  Cereais e derivados  289  10.7  8.8  42
56  Pastel, de carne, frito  1  Cereais e derivados  388  10.1  20.1  43.8
57  Pastel, de queijo, cru  1  Cereais e derivados  308  9.9  9.6  45.9
58  Pastel, de queijo, frito  1  Cereais e derivados  422  8.7  22.7  48.1
59  Pastel, massa, crua  1  Cereais e derivados  310  6.9  5.5  57.4
60  Pastel, massa, frita  1  Cereais e derivados  570  6  40.9  49.3
61  Pipoca, com óleo de soja, sem sal  1  Cereais e derivados  448  9.9  15.9  70.3
62  Polenta, pré-cozida  1  Cereais e derivados  103  2.3  0.3  23.3
63  Torrada, pão francês  1  Cereais e derivados  377  10.5  3.3  74.6
64  Abóbora, cabotian, cozida  2  Verduras, hortaliças e derivados  48  1.4  0.7  10.8
65  Abóbora, cabotian, crua  2  Verduras, hortaliças e derivados  39  1.7  0.5  8.4
66  Abóbora, menina brasileira, crua  2  Verduras, hortaliças e derivados  14  0.6  0  3.3
67  Abóbora, moranga, crua  2  Verduras, hortaliças e derivados  12  1  0.1  2.7
68  Abóbora, moranga, refogada  2  Verduras, hortaliças e derivados  29  0.4  0.8  6
69  Abóbora, pescoço, crua  2  Verduras, hortaliças e derivados  24  0.7  0.1  6.1
70  Abobrinha, italiana, cozida  2  Verduras, hortaliças e derivados  15  1.1  0.2  3
71  Abobrinha, italiana, crua  2  Verduras, hortaliças e derivados  19  1.1  0.1  4.3
